video_id,category_id,views,likes,dislikes,comment_count
10ndJuFP1PY,23,1023827,14399,503,1241
12m1rG0Tj7U,23,2190835,19535,5243,7728
133w0dT64A0,23,176811,3640,154,200
13xFL17XmYU,24,310140,1521,246,486
15UK0924t_o,26,268343,14304,343,1117
15uSD6tHi2I,17,493066,4208,351,2593
16a1LttU5qc,26,2368518,96698,2336,7689
17x4Auq4Tw4,24,503121,10623,625,484
18QHSoWPygQ,24,1074385,24862,2755,4419
19QxOZU0zkQ,22,921689,26080,1813,10042
1A_aWbz6D5A,24,412054,1655,1933,615
1A_feeLPImg,23,22795,39,4,6
1Aoc-cd9eYs,24,1062499,32276,4594,5547
1C9STKF0Lv4,17,2248120,31981,685,1980
1CYch47uOZU,26,611625,38391,1299,2225
1DQ9UTz5j8o,23,536775,39673,779,4280
1DRhHMy-D4E,25,396970,2551,211,1107
1FJD7jZqZEk,24,14723484,190948,7913,18386
1HBvOZlvj_w,17,389465,2971,192,1565
1JNxKJnPDAs,15,258887,2046,184,0
1JXq9779zwU,27,295571,12520,159,907
1KG8Qha7uXw,23,331121,6190,940,705
1L_fPteZOYQ,24,9977,129,15,21
1M5r_B1_WZ8,25,141473,811,172,521
1MGNw-Y2QPk,25,1723598,141985,3217,10745
1Nu_oGucpDI,10,1309380,68539,996,5932
1PhPYr_9zRY,22,6918222,611356,3653,58554
1QR-GsZkE3E,24,148659,2325,136,197
1QmPCVW6jOs,27,3633365,34995,3470,4141
1R0Xgq1bxZI,23,361852,12384,2617,1556
1RZYOeQeIXE,24,1195009,27935,446,965
1Sh6UqeRHdM,25,60574,234,10,73
1SnWTW6YXbE,10,6848484,208955,3287,14325
1U1u5aKU3AY,25,365394,1814,335,1284
1UpvW5LiE2k,17,132889,2660,53,65
1VJixjI_P3s,22,214900,470,290,100
1WREZPc-kqQ,1,855708,20606,644,2001
1WRUGR-glbQ,26,123452,5730,78,342
1XY8dPnIORc,1,1402067,39490,5465,5724
1Xgm5R4eMao,24,1520719,13333,2901,4593
1csFTDXXULY,27,679280,15914,495,1665
1e5vRpODASk,28,4743,11,1,6
1eKa8ju_b2A,23,130817,3464,2442,973
1h7KV2sjUWY,22,955605,57269,360,3778
1huD-o3abV8,25,364273,3044,371,1059
1kEoS9WwpmA,24,414854,16969,205,1075
1lCnG9hWC6w,24,597586,9967,414,1089
1lPvUKtHBJA,23,2130602,22327,2699,4378
1mYB8onrPt0,24,948294,11103,1949,3581
1mpdJcGj8Qg,28,322747,9110,320,763
1n4rqMnxaig,17,364182,3759,140,831
1ndx3Hl-7ls,28,986977,14838,1387,1463
1oFQ76ctfS0,22,372465,8738,183,747
1purAy2MsOc,23,1134295,95686,790,27016
1qG_NwTT-2k,23,2251104,27656,3257,1249
1qIj0m7-sHI,17,307093,4334,972,3238
1sJHx2s4Pp4,10,340791,18868,175,401
1sqyuXCwcBA,23,1093889,27329,1755,1799
1x77e4XvqZ4,22,9046,45,0,4
1zO2JEV6He0,23,1421293,115308,942,8508
2-tzlBFotjA,23,4280876,124337,11809,6284
20DPgRoyQn0,22,11383684,132635,8302,13841
20bpjtCbCz0,1,24152049,429341,5175,28740
22iCU_bsApA,17,582629,6912,302,2161
23ILq4uxd-w,24,2183863,24659,638,1290
24HFgBQawWA,10,223245,11899,510,833
260mj1dmJhU,24,546964,4573,1013,1064
26qOMpjicGs,22,683434,5413,201,375
272qtYHyylk,23,1286392,58513,1174,5366
27GV1PS8_Cw,25,156114,1737,218,1167
2A4ZlxAk8dQ,17,386234,2780,196,1238
2AAUadR6Hjw,17,770714,9162,223,538
2ATuTL5i0_c,26,1207635,50742,2460,3427
2B1sY4NecnI,25,102834,873,276,1989
2B85lYenaxE,24,1066607,8445,28292,6759
2BwxeOzSx8A,1,1120227,395,44,18
2Cy2S6jbviQ,26,85484,3880,50,357
2DVg-P0mZE4,24,275455,2074,664,385
2GjJ85MImlo,26,1787925,54676,9574,6254
2J6bJnwr1rw,24,1271072,46786,1145,2521
2KuqjW0WtZg,24,570053,14382,994,3016
2NpetP71B1o,19,386697,13606,440,2654
2P6dG-csseU,27,156669,8019,126,1015
2PH7dK6SLC8,10,3165267,74217,1501,5444
2QK6Usg2KT0,24,1438398,33748,3360,8085
2QMjAiy_2t8,24,1912737,32162,1114,1425
2RYxblMkQ04,24,124022,212,44,63
2RsVpR_X5hE,22,452811,49608,665,7885
2TCHVvJ73kM,24,1487010,29233,2573,5942
2TfXp8KDvKw,26,398250,7148,180,539
2VggEmXPnGw,22,1069014,32976,217,1199
2WHcBwq2wHc,17,4544350,108091,1922,0
2X5fG1A4kuc,17,172027,1548,59,294
2XQPTtTv_O4,27,283388,7695,218,1142
2XQft9iwSqg,10,475678,26114,249,2722
2Xyf_PCf7lc,10,164062,4496,94,91
2Yb_VA4L3YU,24,620118,3299,60,249
2Yz_kqxegrs,10,41761,3149,38,251
2Z3yeFZyCjI,22,313927,5002,1019,564
2_DRBnV4nGY,17,905126,15532,421,1412
2_dkBgK4Mbk,25,13044,68,22,220
2_fUmjfzh1Y,17,18875,269,3,24
2aQykuIaJVI,10,3640120,182789,3123,13004
2aThW4BSdbQ,22,176006,12056,79,1203
2afSbqlp5HU,1,422979,7408,1344,1548
2c7UCvK0Ixc,22,648993,70174,343,2935
2c9fXDI2EYE,23,1887277,32868,854,1662
2dkl0fUKHAM,26,769773,10479,774,1073
2fZ-qIHlA5M,26,319303,13486,237,1339
2fouYHWUhZo,24,2239708,82672,687,3577
2fxqFJsvus4,24,642382,3470,467,317
2gGRX1bvgS8,25,25601,128,100,102
2h0bkuWzQeU,10,4737883,126973,2518,2822
2in8XqiElwc,10,4455275,181363,9010,18333
2jSWMme12ik,17,773673,4180,863,1247
2lyQj9M2MhY,24,65481,4093,57,1244
2nSXgn68gPQ,28,117924,1262,201,107
2pJlpCfueV0,22,3509600,51324,2285,9951
2rx8VHNG-DE,25,22871,195,677,419
2tDKp41nrw8,10,8753550,1431724,6335,125168
2v4-L4PkV9U,20,2717996,115805,4305,8924
2wbc8x-RHiY,22,254309,19631,62,1555
2ybeU5JUoK4,17,1271760,8530,1045,2399
2z3EUY1aXdY,17,11154250,150451,49035,29640
2z870cifG_A,24,2016536,109686,21229,12214
305ryPvU6A8,28,7365395,98457,17797,0
30HOemteiKQ,17,709274,4822,218,853
342Cqk9ew58,24,160571,1646,1287,985
34By94AKkZE,25,3721,29,4,34
34cHO5_LX9g,24,4026262,10543,1016,1044
34gHoxqZlJc,27,257992,9808,120,507
34mNW4YSJhw,24,64771,781,12,91
35m4leH72dA,24,32284,310,36,389
36YFQTFzZwU,17,519485,4658,174,1620
36tggrpRoTI,10,16146848,1094557,8876,65275
37R2_bvJjGM,26,513498,27331,1017,6496
38I1jsA91iQ,23,788112,41026,2190,2679
38dYSj3F-Lo,25,88560,1111,203,2128
391JeKrI30w,25,57143,234,176,146
3AV1GuBI-0Q,17,938538,7882,437,1277
3BHcVPSD4p0,25,11692,145,79,0
3BJU2drrtCM,24,11188382,481888,5621,19790
3BNg4fDJC8A,24,3445502,106759,1359,3545
3ChgRbqGi-E,10,4188327,155328,2118,4647
3D_ZODCSKXo,24,65678,1841,128,593
3Eu3N6KsWtY,24,3442,59,2,5
3FnV82JEGPI,25,35112,230,97,404
3GUYMZXyf9Y,24,276170,9504,291,698
3HXIkBeKQ14,24,59200,179,115,0
3HhK7HbX3Qs,17,1598439,13453,629,1389
3ILxrRlf3KY,10,909247,6432,568,614
